event_id,report_period,publication_datetime,bond_event_date,equity_event_date,bond_window_complete_m3_p3,equity_window_complete_m3_p3,action_nearby
2019Q2,2019Q2,2019-08-09 21:52:59,2019-08-12,2019-08-12,True,True,0
2019Q3,2019Q3,2019-11-16 09:00:00,2019-11-18,2019-11-18,True,True,1
2019Q4,2019Q4,2020-02-19 20:29:12,2020-02-20,2020-02-20,True,True,1
2020Q1,2020Q1,2020-05-10 09:00:20,2020-05-11,2020-05-11,True,True,0
2020Q2,2020Q2,2020-08-06 18:01:45,2020-08-07,2020-08-07,True,True,0
2020Q3,2020Q3,2020-11-26 17:00:36,2020-11-27,2020-11-27,True,True,0
2020Q4,2020Q4,2021-02-08 22:20:39,2021-02-09,2021-02-09,True,True,0
2021Q1,2021Q1,2021-05-11 18:56:38,2021-05-12,2021-05-12,True,True,0
2021Q2,2021Q2,2021-08-09 18:13:50,2021-08-10,2021-08-10,True,True,0
2021Q3,2021Q3,2021-11-19 19:54:16,2021-11-22,2021-11-22,True,True,0
2021Q4,2021Q4,2022-02-11 19:33:17,2022-02-14,2022-02-14,True,True,0
2022Q1,2022Q1,2022-05-09 17:30:20,2022-05-10,2022-05-10,True,True,0
2022Q2,2022Q2,2022-08-10 18:00:15,2022-08-11,2022-08-11,True,True,0
2022Q3,2022Q3,2022-11-16 20:07:00,2022-11-17,2022-11-17,True,True,0
2022Q4,2022Q4,2023-02-24 18:32:30,2023-02-27,2023-02-27,True,True,0
2023Q1,2023Q1,2023-05-15 17:00:30,2023-05-16,2023-05-16,True,True,0
2023Q2,2023Q2,2023-08-17 17:34:30,2023-08-18,2023-08-18,True,True,1
2023Q3,2023Q3,2023-11-27 19:50:30,2023-11-28,2023-11-28,True,True,0
2023Q4,2023Q4,2024-02-08 18:19:21,2024-02-09,2024-02-19,True,True,1
2024Q1,2024Q1,2024-05-10 20:17:00,2024-05-11,2024-05-13,True,True,0
2024Q2,2024Q2,2024-08-09 18:34:00,2024-08-12,2024-08-12,True,True,0
2024Q3,2024Q3,2024-11-08 17:01:00,2024-11-11,2024-11-11,True,True,0
2024Q4,2024Q4,2025-02-13 17:05:21,2025-02-14,2025-02-14,True,True,0
2025Q1,2025Q1,2025-05-09 17:40:30,2025-05-12,2025-05-12,True,True,1
2025Q2,2025Q2,2025-08-15 18:00:29,2025-08-18,2025-08-18,True,True,0
2025Q3,2025Q3,2025-11-11 17:00:27,2025-11-12,2025-11-12,True,True,0
2025Q4,2025Q4,2026-02-10 19:23:18,2026-02-11,2026-02-11,True,True,0
2026Q1,2026Q1,2026-05-11 19:22:25,2026-05-12,2026-05-12,True,True,0
