event_id,similarity_group,relative_day,abs_return
2010Q3,低创新度,9,0.0438490774815356
2010Q3,低创新度,10,0.0207071188293057
2010Q4,高创新度,0,0.0130972903463753
2010Q4,高创新度,1,0.0002519089825216
2010Q4,高创新度,2,0.0118071688564229
2010Q4,高创新度,3,0.0207875896636213
2010Q4,高创新度,4,0.0054098318934927
2010Q4,高创新度,5,0.0314605524717426
2010Q4,高创新度,6,0.0004572645576789
2010Q4,高创新度,7,0.0095895447359286
2010Q4,高创新度,8,0.0008065193855553
2010Q4,高创新度,9,0.0104842806648496
2010Q4,高创新度,10,0.0143318110661805
2011Q1,高创新度,0,0.0255685533948776
2011Q1,高创新度,1,0.0009303208536324
2011Q1,高创新度,2,0.0015101802011888
2011Q1,高创新度,3,0.0026792499253538
2011Q1,高创新度,4,0.0074964238460533
2011Q1,高创新度,5,0.0025802187667784
2011Q1,高创新度,6,0.0138253815079719
2011Q1,高创新度,7,0.0085407448986862
2011Q1,高创新度,8,0.0088328575908707
2011Q1,高创新度,9,0.0050202179480933
2011Q1,高创新度,10,0.0074938351003264
2011Q2,中间组,0,0.0147869922601131
2011Q2,中间组,1,0.0069577841195139
2011Q2,中间组,2,0.0039922956424687
2011Q2,中间组,3,0.0179344306487877
2011Q2,中间组,4,0.0093816573955615
2011Q2,中间组,5,0.0106412305745987
2011Q2,中间组,6,0.0155577083484084
2011Q2,中间组,7,0.0038947140431967
2011Q2,中间组,8,0.033388066117773
2011Q2,中间组,9,0.0009025988717686
2011Q2,中间组,10,0.0166850727419122
2011Q3,中间组,0,0.0030332015537902
2011Q3,中间组,1,0.0208571169906127
2011Q3,中间组,2,0.0012246330800558
2011Q3,中间组,3,8.12357957103993e-05
2011Q3,中间组,4,0.0097582847124421
2011Q3,中间组,5,0.001897824738362
2011Q3,中间组,6,0.0073165785666968
2011Q3,中间组,7,0.0013027374217549
2011Q3,中间组,8,0.0136974749749447
2011Q3,中间组,9,0.0333704034664216
2011Q3,中间组,10,0.0246252260541259
2011Q4,高创新度,0,0.005307876861022
2011Q4,高创新度,1,0.0003990419837904
2011Q4,高创新度,2,0.0014268337770182
2011Q4,高创新度,3,0.0085594319059347
2011Q4,高创新度,4,0.0136677628818948
2011Q4,高创新度,5,0.0033802044754214
2011Q4,高创新度,6,0.0160233683874493
2011Q4,高创新度,7,0.0032310970813254
2011Q4,高创新度,8,0.0022171421602192
2011Q4,高创新度,9,0.0106367675344221
2011Q4,高创新度,10,0.0003029448287356
2012Q1,中间组,0,0.0076384514006022
2012Q1,中间组,1,0.0081090910332026
2012Q1,中间组,2,0.0007034892301149
2012Q1,中间组,3,0.0163243770282732
2012Q1,中间组,4,0.0152622864415976
2012Q1,中间组,5,0.0152895511836146
2012Q1,中间组,6,0.0051496206646837
2012Q1,中间组,7,0.0155741794992405
2012Q1,中间组,8,0.0040555275401755
2012Q1,中间组,9,0.0082575780446021
2012Q1,中间组,10,0.0085374875734994
2012Q2,中间组,0,0.0080753545575322
2012Q2,中间组,1,0.0135418698010865
2012Q2,中间组,2,0.0013673645871017
2012Q2,中间组,3,0.0003859560554286
2012Q2,中间组,4,0.009166058176538
2012Q2,中间组,5,0.0049545963428285
2012Q2,中间组,6,0.0199270674332462
2012Q2,中间组,7,0.0021620532235002
2012Q2,中间组,8,0.010776761803908
2012Q2,中间组,9,0.005123058480924
2012Q2,中间组,10,0.0026702074001905
2012Q3,低创新度,0,0.0021215775797714
2012Q3,低创新度,1,0.0042026517455296
2012Q3,低创新度,2,0.0020508627933091
2012Q3,低创新度,3,0.0184043313566527
2012Q3,低创新度,4,0.0019956310776898
2012Q3,低创新度,5,0.004874774869652
2012Q3,低创新度,6,0.0175002930926065
2012Q3,低创新度,7,0.0048227296559455
2012Q3,低创新度,8,0.0132638510914889
2012Q3,低创新度,9,0.0074684665505423
2012Q3,低创新度,10,0.0010357149418528
2012Q4,低创新度,0,0.0057546461544669
2012Q4,低创新度,1,0.0042954921789795
2012Q4,低创新度,2,0.0123583688858021
2012Q4,低创新度,3,0.018946319431329
2012Q4,低创新度,4,0.006340840763686
2012Q4,低创新度,5,0.0340726735204717
2012Q4,低创新度,6,0.0053417882598642
2012Q4,低创新度,7,0.0032180494214752
2012Q4,低创新度,8,0.0143437903077207
2012Q4,低创新度,9,0.010547613622865
2012Q4,低创新度,10,0.0303120581097378
2013Q1,低创新度,0,0.0051594394163447
2013Q1,低创新度,1,0.003962475342761
2013Q1,低创新度,2,0.014789976797557
2013Q1,低创新度,3,0.0054493213515376
2013Q1,低创新度,4,0.0182630114582604
2013Q1,低创新度,5,0.0154106872346202
2013Q1,低创新度,6,0.0067741801077758
2013Q1,低创新度,7,0.0020102643808053
2013Q1,低创新度,8,0.0012165119798321
2013Q1,低创新度,9,0.0134394740480834
2013Q1,低创新度,10,0.0055671082591355
2013Q2,中间组,0,0.0138239271504938
2013Q2,中间组,1,0.0067207150503723
2013Q2,中间组,2,0.0056756920546851
2013Q2,中间组,3,0.0016841889255698
2013Q2,中间组,4,0.0040530889650391
2013Q2,中间组,5,0.0292142204102343
2013Q2,中间组,6,0.0026666167968807
2013Q2,中间组,7,0.0042338754118153
2013Q2,中间组,8,0.0117084135065642
2013Q2,中间组,9,0.0075086923710445
2013Q2,中间组,10,0.0118421418105814
2013Q3,低创新度,0,0.0126694323149598
2013Q3,低创新度,1,0.0055303267209615
2013Q3,低创新度,2,0.0139313290198209
2013Q3,低创新度,3,0.0034420230984706
2013Q3,低创新度,4,0.0104111207402426
2013Q3,低创新度,5,0.0221726495726495
2013Q3,低创新度,6,0.0071609131704861
2013Q3,低创新度,7,0.0200620438003713
2013Q3,低创新度,8,0.0332530179935288
2013Q3,低创新度,9,0.0068920002157352
2013Q3,低创新度,10,0.0052595948117932
2013Q4,低创新度,0,0.0248819990933262
2013Q4,低创新度,1,0.0079504871812285
2013Q4,低创新度,2,0.0024869156907578
2013Q4,低创新度,3,0.0051029003433066
2013Q4,低创新度,4,0.007028129186674
2013Q4,低创新度,5,0.0070012959715974
2013Q4,低创新度,6,0.0126338493723305
2013Q4,低创新度,7,0.0114850673094868
2013Q4,低创新度,8,0.0091914949650357
2013Q4,低创新度,9,0.0101170043664611
2013Q4,低创新度,10,0.0219869857889478
2014Q1,高创新度,0,0.0092762899290234
2014Q1,高创新度,1,0.0008515352900552
2014Q1,高创新度,2,0.0007422163281972
2014Q1,高创新度,3,0.0216236759639929
2014Q1,高创新度,4,0.0023861794249134
2014Q1,高创新度,5,0.0011403074783938
2014Q1,高创新度,6,0.0130217108303734
2014Q1,高创新度,7,0.0008712345225281
2014Q1,高创新度,8,0.0143567982881258
2014Q1,高创新度,9,0.0002969066394094
2014Q1,高创新度,10,0.0095161527405376
2014Q2,中间组,0,0.0198411437785319
2014Q2,中间组,1,0.0026380481726874
2014Q2,中间组,2,0.0025880482984174
2014Q2,中间组,3,0.0151335825130193
2014Q2,中间组,4,0.0015798358465914
2014Q2,中间组,5,0.0146774059320486
2014Q2,中间组,6,0.0035077276122889
2014Q2,中间组,7,0.0007844544795785
2014Q2,中间组,8,0.0097316504592603
2014Q2,中间组,9,0.0105695981711897
2014Q2,中间组,10,0.0058996837715274
2014Q3,低创新度,0,0.0015618097999775
2014Q3,低创新度,1,0.0254089178399563
2014Q3,低创新度,2,0.0027742591776999
2014Q3,低创新度,3,0.0139552225972519
2014Q3,低创新度,4,0.0056153486195602
2014Q3,低创新度,5,0.0005205930807248
2014Q3,低创新度,6,0.0054209592602822
2014Q3,低创新度,7,0.0100054497271435
2014Q3,低创新度,8,0.0016498676328472
2014Q3,低创新度,9,4.8872330102534e-05
2014Q3,低创新度,10,0.0182712617836353
2014Q4,低创新度,0,0.0079781199744168
2014Q4,低创新度,1,0.002547956917106
2014Q4,低创新度,2,0.0078289243231091
2014Q4,低创新度,3,0.0085465331422769
2014Q4,低创新度,4,0.0065263926128515
2014Q4,低创新度,5,0.0123762109199557
2014Q4,低创新度,6,0.0251718371853628
2014Q4,低创新度,7,0.0018360791802136
2014Q4,低创新度,8,0.0079550094980385
2014Q4,低创新度,9,0.0259256122501397
2014Q4,低创新度,10,0.0065343937968584
